Car_ID,Date,Customer_Name,Gender,Annual_Income,Dealer_Name,Company,Model,Engine,Transmission,Color,Price ($),Dealer_No ,Body_Style,Phone,Dealer_Region
C_CND_000001,1/2/2022,Harrison,Male,"$13,500 ",Scrivener Performance Engineering,BMW,323i,Double Overhead Camshaft,Auto,Pale White,"$15,000 ",38701-8047,Hatchback,7558767,Greenville
C_CND_000002,1/2/2022,Sloane,Male,"$13,500 ",Race Car Help,Chrysler,LHS,Overhead Camshaft,Manual,Pale White,"$41,000 ",78758-7841,Hatchback,6292720,Janesville
C_CND_000003,1/4/2022,Toby,Male,"$13,500 ",Clay Johnson Auto Sales,Mitsubishi,Diamante,Double Overhead Camshaft,Auto,Pale White,"$21,000 ",78758-7841,Hatchback,8822935,Pasco
C_CND_000004,1/5/2022,Amelia,Male,"$13,500 ",Pitre Buick-Pontiac-Gmc of Scottsdale,Chevrolet,Impala,Overhead Camshaft,Manual,Pale White,"$22,001 ",99301-3882,Hatchback,8636283,Pasco
C_CND_000005,1/6/2022,Amirah,Male,"$13,500 ",Saab-Belle Dodge,Nissan,Pathfinder,Double Overhead Camshaft,Auto,Pale White,"$21,000 ",60504-7114,Hatchback,8844816,Aurora
C_CND_000006,1/12/2022,Nina,Male,"$13,500 ",McKinney Dodge Chrysler Jeep,Pontiac,Bonneville,Double Overhead Camshaft,Auto,Pale White,"$19,000 ",85257-3102,Hatchback,7387235,Scottsdale
C_CND_000007,1/12/2022,Arthur,Male,"$13,500 ",New Castle Ford Lincoln Mercury,Ford,Mustang,Overhead Camshaft,Manual,Pale White,"$25,000 ",60504-7114,Hatchback,8238020,Aurora
C_CND_000008,1/19/2022,Brianna,Male,"$13,500 ",Chrysler Plymouth,Volkswagen,Passat,Overhead Camshaft,Manual,Pale White,"$27,000 ",53546-9427,Hatchback,7555872,Janesville
C_CND_000009,1/21/2022,Kieran,Male,"$13,500 ",Star Enterprises Inc,Nissan,Frontier,Overhead Camshaft,Manual,Pale White,"$20,000 ",99301-3882,Hatchback,6579013,Pasco
C_CND_000010,1/21/2022,Ahmed,Male,"$13,500 ",C & M Motors Inc,Pontiac,Bonneville,Double Overhead Camshaft,Auto,Pale White,"$19,000 ",60504-7114,Hatchback,7853364,Scottsdale
C_CND_000011,1/31/2022,Lukas,Male,"$13,500 ",Motor Vehicle Branch Office,Dodge,Stratus,Overhead Camshaft,Manual,Pale White,"$37,000 ",78758-7841,Hatchback,7580732,Austin
C_CND_000012,2/3/2022,Gabriella,Male,"$13,500 ",Rabun Used Car Sales,Volkswagen,Beetle,Double Overhead Camshaft,Auto,Pale White,"$45,000 ",85257-3102,Hatchback,6697665,Austin
C_CND_000013,2/3/2022,Genesis,Male,"$13,500 ",Ryder Truck Rental and Leasing,Saturn,LW,Overhead Camshaft,Manual,Pale White,"$13,000 ",06457-3834,Hatchback,7561365,Middletown
C_CND_000014,2/6/2022,Hailey,Male,"$13,500 ",Star Enterprises Inc,Jeep,Wrangler,Double Overhead Camshaft,Auto,Pale White,"$19,000 ",99301-3882,Hatchback,7581505,Pasco
C_CND_000015,2/6/2022,Alexandre,Male,"$13,500 ",Saab-Belle Dodge,Nissan,Frontier,Overhead Camshaft,Manual,Pale White,"$20,000 ",60504-7114,Hatchback,6838175,Aurora
C_CND_000016,2/7/2022,Danny,Male,"$13,500 ",Star Enterprises Inc,Jeep,Wrangler,Double Overhead Camshaft,Auto,Pale White,"$19,000 ",99301-3882,Hatchback,8601323,Middletown
C_CND_000017,2/14/2022,Kaylee,Male,"$13,500 ",Race Car Help,Pontiac,Bonneville,Double Overhead Camshaft,Auto,Pale White,"$20,000 ",78758-7841,Hatchback,8875803,Austin
C_CND_000018,2/14/2022,Vanessa,Male,"$13,500 ",U-Haul CO,Plymouth,Prowler,Overhead Camshaft,Manual,Pale White,"$16,000 ",78758-7841,Hatchback,7631462,Austin
C_CND_000019,2/14/2022,Gabriel,Male,"$13,500 ",McKinney Dodge Chrysler Jeep,Chevrolet,Monte Carlo,Overhead Camshaft,Manual,Pale White,"$17,000 ",85257-3102,Hatchback,8365420,Austin
C_CND_000020,2/18/2022,Omar,Male,"$13,500 ",Scrivener Performance Engineering,Dodge,Ram Van,Double Overhead Camshaft,Auto,Pale White,"$15,000 ",38701-8047,Hatchback,8675849,Greenville
C_CND_000021,2/18/2022,Lauren,Male,"$13,500 ",Scrivener Performance Engineering,Volkswagen,Passat,Overhead Camshaft,Manual,Pale White,"$27,000 ",38701-8047,Hatchback,6852213,Greenville
C_CND_000022,2/20/2022,Leah,Male,"$13,500 ",Tri-State Mack Inc,Mitsubishi,Diamante,Overhead Camshaft,Manual,Pale White,"$12,000 ",85257-3102,Hatchback,6631477,Scottsdale
C_CND_000023,2/27/2022,Rayan,Male,"$13,500 ",Tri-State Mack Inc,BMW,323i,Double Overhead Camshaft,Auto,Pale White,"$19,000 ",85257-3102,Hatchback,6977939,Scottsdale
C_CND_000024,2/27/2022,Malia,Male,"$13,500 ",Hatfield Volkswagen,Mercedes-B,M-Class,Overhead Camshaft,Manual,Pale White,"$25,000 ",99301-3882,Hatchback,8643987,Pasco
C_CND_000025,2/27/2022,Joseph,Male,"$13,500 ",Chrysler of Tri-Cities,Volkswagen,Passat,Overhead Camshaft,Manual,Pale White,"$27,000 ",99301-3882,Hatchback,6871210,Middletown
C_CND_000026,2/28/2022,Julian,Male,"$13,500 ",Classic Chevy,Audi,A4,Overhead Camshaft,Manual,Pale White,"$12,000 ",85257-3102,Hatchback,6340172,Greenville
C_CND_000027,3/1/2022,Maryam,Male,"$13,500 ",New Castle Ford Lincoln Mercury,Ford,Explorer,Double Overhead Camshaft,Auto,Pale White,"$41,000 ",60504-7114,Hatchback,8255349,Aurora
C_CND_000028,3/1/2022,Mae,Male,"$13,500 ",C & M Motors Inc,Mitsubishi,Diamante,Overhead Camshaft,Manual,Pale White,"$19,000 ",60504-7114,Hatchback,7395758,Aurora
C_CND_000029,3/2/2022,Axelle,Male,"$13,500 ",Chrysler Plymouth,Dodge,Ram Van,Double Overhead Camshaft,Auto,Pale White,"$31,000 ",53546-9427,Hatchback,8136922,Janesville
C_CND_000030,3/6/2022,Riley,Male,"$13,500 ",Chrysler of Tri-Cities,Toyota,Tacoma,Double Overhead Camshaft,Auto,Pale White,"$53,000 ",99301-3882,Hatchback,6428270,Pasco
C_CND_000031,3/6/2022,Nicholas,Male,"$13,500 ",Scrivener Performance Engineering,Infiniti,I30,Overhead Camshaft,Manual,Pale White,"$22,000 ",38701-8047,Hatchback,6478941,Austin
C_CND_000032,3/8/2022,Samara,Male,"$13,500 ",Saab-Belle Dodge,Mitsubishi,Diamante,Overhead Camshaft,Manual,Pale White,"$19,000 ",60504-7114,Hatchback,8092134,Aurora
C_CND_000033,3/8/2022,Savannah,Male,"$13,500 ",Iceberg Rentals,Subaru,Forester,Overhead Camshaft,Manual,Pale White,"$26,000 ",53546-9427,Hatchback,7697601,Janesville
C_CND_000034,3/15/2022,Nora,Male,"$13,500 ",Nebo Chevrolet,Lexus,GS400,Double Overhead Camshaft,Auto,Pale White,"$31,000 ",06457-3834,Hatchback,8941110,Middletown
C_CND_000035,3/17/2022,Tessa,Male,"$13,500 ",Suburban Ford,Saturn,LW,Overhead Camshaft,Manual,Pale White,"$13,000 ",53546-9427,Hatchback,8630844,Janesville
C_CND_000036,3/19/2022,Viviana,Male,"$13,500 ",Rabun Used Car Sales,Honda,Civic,Overhead Camshaft,Manual,Pale White,"$45,000 ",85257-3102,Hatchback,7824592,Scottsdale
C_CND_000037,3/19/2022,Yehudis,Male,"$13,500 ",Diehl Motor CO Inc,Nissan,Frontier,Overhead Camshaft,Manual,Pale White,"$20,000 ",06457-3834,Hatchback,7630443,Middletown
C_CND_000038,3/20/2022,Ayden,Male,"$13,500 ",Race Car Help,Lexus,ES300,Double Overhead Camshaft,Auto,Pale White,"$27,000 ",78758-7841,Hatchback,6942905,Janesville
C_CND_000039,3/26/2022,Ayan,Male,"$13,500 ",Clay Johnson Auto Sales,Chrysler,LHS,Overhead Camshaft,Manual,Pale White,"$41,000 ",78758-7841,Hatchback,8182280,Austin
C_CND_000040,3/29/2022,Chase,Male,"$13,500 ",Race Car Help,Mitsubishi,Diamante,Double Overhead Camshaft,Auto,Pale White,"$21,000 ",78758-7841,Hatchback,8790405,Austin
C_CND_000041,3/29/2022,Brianna,Male,"$13,500 ",Star Enterprises Inc,Volvo,S70,Double Overhead Camshaft,Auto,Pale White,"$32,000 ",99301-3882,Hatchback,8901055,Pasco
C_CND_000042,4/4/2022,Evan,Male,"$13,500 ",Chrysler of Tri-Cities,Nissan,Altima,Double Overhead Camshaft,Auto,Pale White,"$20,000 ",99301-3882,Hatchback,8904457,Pasco
C_CND_000043,4/5/2022,Jelani,Male,"$13,500 ",Pitre Buick-Pontiac-Gmc of Scottsdale,Saturn,LW,Double Overhead Camshaft,Auto,Pale White,"$18,000 ",99301-3882,Hatchback,7810776,Greenville
C_CND_000044,4/6/2022,Jackson,Male,"$13,500 ",Race Car Help,Toyota,RAV4,Overhead Camshaft,Manual,Pale White,"$22,000 ",78758-7841,Hatchback,7459361,Austin
C_CND_000045,4/7/2022,Emily,Male,"$13,500 ",U-Haul CO,Chrysler,LHS,Double Overhead Camshaft,Auto,Pale White,"$20,000 ",78758-7841,Hatchback,7424408,Austin
